,,{uniform;explicit;math},
asset,rep_period,specification,partition
NL_E_Balance,1,uniform,2
NL_E_Demand,1,uniform,2
NL_E_ENS,1,uniform,2
NL_Wind_Onshore,1,uniform,2
NL_Wind_Offshore,1,uniform,2
NL_Solar,1,uniform,2
NL_Battery,1,uniform,2
NL_H_Demand,1,uniform,2
NL_Blue_Hydrogen,1,uniform,2
NL_PEMEC,1,uniform,2
NL_PEMFC,1,uniform,2
NL_H2Tank,1,uniform,2
BE_E_Balance,1,uniform,2
BE_E_Demand,1,uniform,2
BE_E_ENS,1,uniform,2
BE_Wind_Onshore,1,uniform,2
BE_Wind_Offshore,1,uniform,2
BE_Solar,1,uniform,2
BE_Hydro,1,uniform,2
BE_Battery,1,uniform,2
BE_H_Demand,1,uniform,2
BE_Blue_Hydrogen,1,uniform,2
BE_PEMEC,1,uniform,2
BE_PEMFC,1,uniform,2
BE_H2Tank,1,uniform,2
DE_E_Balance,1,uniform,2
DE_E_Demand,1,uniform,2
DE_E_ENS,1,uniform,2
DE_Wind_Onshore,1,uniform,2
DE_Wind_Offshore,1,uniform,2
DE_Solar,1,uniform,2
DE_Hydro,1,uniform,2
DE_Hydro_Reservoir,1,uniform,2
DE_Battery,1,uniform,2
DE_Pump_Hydro_Closed,1,uniform,2
DE_Pump_Hydro_Open,1,uniform,2
DE_H_Demand,1,uniform,2
DE_Blue_Hydrogen,1,uniform,2
DE_PEMEC,1,uniform,2
DE_PEMFC,1,uniform,2
DE_H2Tank,1,uniform,2
FR_E_Balance,1,uniform,2
FR_E_Demand,1,uniform,2
FR_E_ENS,1,uniform,2
FR_Wind_Onshore,1,uniform,2
FR_Wind_Offshore,1,uniform,2
FR_Solar,1,uniform,2
FR_Hydro,1,uniform,2
FR_Hydro_Reservoir,1,uniform,2
FR_Nuclear,1,uniform,2
FR_Battery,1,uniform,2
FR_Pump_Hydro_Closed,1,uniform,2
FR_Pump_Hydro_Open,1,uniform,2
FR_H_Demand,1,uniform,2
FR_Blue_Hydrogen,1,uniform,2
FR_PEMEC,1,uniform,2
FR_PEMFC,1,uniform,2
FR_H2Tank,1,uniform,2
DK_E_Balance,1,uniform,2
DK_E_Demand,1,uniform,2
DK_E_ENS,1,uniform,2
DK_Wind_Onshore,1,uniform,2
DK_Wind_Offshore,1,uniform,2
DK_Solar,1,uniform,2
DK_Battery,1,uniform,2
DK_H_Demand,1,uniform,2
DK_Blue_Hydrogen,1,uniform,2
DK_PEMEC,1,uniform,2
DK_PEMFC,1,uniform,2
DK_H2Tank,1,uniform,2
UK_E_Balance,1,uniform,2
UK_E_Demand,1,uniform,2
UK_E_ENS,1,uniform,2
UK_Wind_Onshore,1,uniform,2
UK_Wind_Offshore,1,uniform,2
UK_Solar,1,uniform,2
UK_Hydro,1,uniform,2
UK_Nuclear,1,uniform,2
UK_Battery,1,uniform,2
UK_Pump_Hydro_Closed,1,uniform,2
UK_PEMEC,1,uniform,2
UK_PEMFC,1,uniform,2
UK_H2Tank,1,uniform,2
IE_E_Balance,1,uniform,2
IE_E_Demand,1,uniform,2
IE_E_ENS,1,uniform,2
IE_Wind_Onshore,1,uniform,2
IE_Wind_Offshore,1,uniform,2
IE_Solar,1,uniform,2
IE_Hydro,1,uniform,2
IE_Battery,1,uniform,2
IE_Pump_Hydro_Closed,1,uniform,2
IE_PEMEC,1,uniform,2
IE_PEMFC,1,uniform,2
IE_H2Tank,1,uniform,2
CH_E_Balance,1,uniform,2
CH_E_Demand,1,uniform,2
CH_E_ENS,1,uniform,2
CH_Wind_Onshore,1,uniform,2
CH_Solar,1,uniform,2
CH_Hydro,1,uniform,2
CH_Nuclear,1,uniform,2
CH_Battery,1,uniform,2
CH_Pump_Hydro_Closed,1,uniform,2
CH_Pump_Hydro_Open,1,uniform,2
CH_PEMEC,1,uniform,2
CH_PEMFC,1,uniform,2
CH_H2Tank,1,uniform,2
AT_E_Balance,1,uniform,2
AT_E_Demand,1,uniform,2
AT_E_ENS,1,uniform,2
AT_Wind_Onshore,1,uniform,2
AT_Solar,1,uniform,2
AT_Hydro,1,uniform,2
AT_Hydro_Reservoir,1,uniform,2
AT_Battery,1,uniform,2
AT_Pump_Hydro_Closed,1,uniform,2
AT_Pump_Hydro_Open,1,uniform,2
AT_H_Demand,1,uniform,2
AT_Blue_Hydrogen,1,uniform,2
AT_PEMEC,1,uniform,2
AT_PEMFC,1,uniform,2
AT_H2Tank,1,uniform,2
LU_E_Balance,1,uniform,2
LU_E_Demand,1,uniform,2
LU_E_ENS,1,uniform,2
LU_Wind_Onshore,1,uniform,2
LU_Solar,1,uniform,2
LU_Hydro,1,uniform,2
LU_Battery,1,uniform,2
LU_Pump_Hydro_Closed,1,uniform,2
LU_H_Demand,1,uniform,2
LU_Blue_Hydrogen,1,uniform,2
LU_PEMEC,1,uniform,2
LU_PEMFC,1,uniform,2
LU_H2Tank,1,uniform,2
CZ_E_Balance,1,uniform,2
CZ_E_Demand,1,uniform,2
CZ_E_ENS,1,uniform,2
CZ_Wind_Onshore,1,uniform,2
CZ_Solar,1,uniform,2
CZ_Hydro,1,uniform,2
CZ_Hydro_Reservoir,1,uniform,2
CZ_Nuclear,1,uniform,2
CZ_Battery,1,uniform,2
CZ_Pump_Hydro_Closed,1,uniform,2
CZ_Pump_Hydro_Open,1,uniform,2
CZ_H_Demand,1,uniform,2
CZ_Blue_Hydrogen,1,uniform,2
CZ_PEMEC,1,uniform,2
CZ_PEMFC,1,uniform,2
CZ_H2Tank,1,uniform,2
PL_E_Balance,1,uniform,2
PL_E_Demand,1,uniform,2
PL_E_ENS,1,uniform,2
PL_Wind_Onshore,1,uniform,2
PL_Wind_Offshore,1,uniform,2
PL_Solar,1,uniform,2
PL_Hydro,1,uniform,2
PL_Hydro_Reservoir,1,uniform,2
PL_Battery,1,uniform,2
PL_Pump_Hydro_Closed,1,uniform,2
PL_Pump_Hydro_Open,1,uniform,2
PL_PEMEC,1,uniform,2
PL_PEMFC,1,uniform,2
PL_H2Tank,1,uniform,2
SE_E_Balance,1,uniform,2
SE_E_Demand,1,uniform,2
SE_E_ENS,1,uniform,2
SE_Wind_Onshore,1,uniform,2
SE_Wind_Offshore,1,uniform,2
SE_Solar,1,uniform,2
SE_Hydro_Reservoir,1,uniform,2
SE_Nuclear,1,uniform,2
SE_Battery,1,uniform,2
SE_H_Demand,1,uniform,2
SE_Blue_Hydrogen,1,uniform,2
SE_PEMEC,1,uniform,2
SE_PEMFC,1,uniform,2
SE_H2Tank,1,uniform,2
NO_E_Balance,1,uniform,2
NO_E_Demand,1,uniform,2
NO_E_ENS,1,uniform,2
NO_Wind_Onshore,1,uniform,2
NO_Wind_Offshore,1,uniform,2
NO_Solar,1,uniform,2
NO_Battery,1,uniform,2
NO_Pump_Hydro_Open,1,uniform,2
NO_PEMEC,1,uniform,2
NO_PEMFC,1,uniform,2
NO_H2Tank,1,uniform,2
ES_E_Balance,1,uniform,2
ES_E_Demand,1,uniform,2
ES_E_ENS,1,uniform,2
ES_Wind_Onshore,1,uniform,2
ES_Wind_Offshore,1,uniform,2
ES_Solar,1,uniform,2
ES_Hydro,1,uniform,2
ES_Hydro_Reservoir,1,uniform,2
ES_Nuclear,1,uniform,2
ES_Battery,1,uniform,2
ES_Pump_Hydro_Closed,1,uniform,2
ES_Pump_Hydro_Open,1,uniform,2
ES_H_Demand,1,uniform,2
ES_Blue_Hydrogen,1,uniform,2
ES_PEMEC,1,uniform,2
ES_PEMFC,1,uniform,2
ES_H2Tank,1,uniform,2
PT_E_Balance,1,uniform,2
PT_E_Demand,1,uniform,2
PT_E_ENS,1,uniform,2
PT_Wind_Onshore,1,uniform,2
PT_Wind_Offshore,1,uniform,2
PT_Solar,1,uniform,2
PT_Hydro,1,uniform,2
PT_Hydro_Reservoir,1,uniform,2
PT_Battery,1,uniform,2
PT_Pump_Hydro_Open,1,uniform,2
PT_PEMEC,1,uniform,2
PT_PEMFC,1,uniform,2
PT_H2Tank,1,uniform,2
IT_E_Balance,1,uniform,2
IT_E_Demand,1,uniform,2
IT_E_ENS,1,uniform,2
IT_Wind_Onshore,1,uniform,2
IT_Wind_Offshore,1,uniform,2
IT_Solar,1,uniform,2
IT_Hydro,1,uniform,2
IT_Hydro_Reservoir,1,uniform,2
IT_Battery,1,uniform,2
IT_Pump_Hydro_Closed,1,uniform,2
IT_Pump_Hydro_Open,1,uniform,2
IT_H_Demand,1,uniform,2
IT_Blue_Hydrogen,1,uniform,2
IT_PEMEC,1,uniform,2
IT_PEMFC,1,uniform,2
IT_H2Tank,1,uniform,2
MT_E_Balance,1,uniform,2
MT_E_Demand,1,uniform,2
MT_E_ENS,1,uniform,2
MT_Solar,1,uniform,2
MT_Battery,1,uniform,2
MT_PEMEC,1,uniform,2
MT_PEMFC,1,uniform,2
MT_H2Tank,1,uniform,2
SI_E_Balance,1,uniform,2
SI_E_Demand,1,uniform,2
SI_E_ENS,1,uniform,2
SI_Wind_Onshore,1,uniform,2
SI_Solar,1,uniform,2
SI_Hydro,1,uniform,2
SI_Nuclear,1,uniform,2
SI_Battery,1,uniform,2
SI_Pump_Hydro_Closed,1,uniform,2
SI_PEMEC,1,uniform,2
SI_PEMFC,1,uniform,2
SI_H2Tank,1,uniform,2
HU_E_Balance,1,uniform,2
HU_E_Demand,1,uniform,2
HU_E_ENS,1,uniform,2
HU_Wind_Onshore,1,uniform,2
HU_Solar,1,uniform,2
HU_Hydro,1,uniform,2
HU_Nuclear,1,uniform,2
HU_Battery,1,uniform,2
HU_H_Demand,1,uniform,2
HU_Blue_Hydrogen,1,uniform,2
HU_PEMEC,1,uniform,2
HU_PEMFC,1,uniform,2
HU_H2Tank,1,uniform,2
SK_E_Balance,1,uniform,2
SK_E_Demand,1,uniform,2
SK_E_ENS,1,uniform,2
SK_Wind_Onshore,1,uniform,2
SK_Solar,1,uniform,2
SK_Hydro,1,uniform,2
SK_Hydro_Reservoir,1,uniform,2
SK_Nuclear,1,uniform,2
SK_Battery,1,uniform,2
SK_Pump_Hydro_Closed,1,uniform,2
SK_Pump_Hydro_Open,1,uniform,2
SK_PEMEC,1,uniform,2
SK_PEMFC,1,uniform,2
SK_H2Tank,1,uniform,2
LT_E_Balance,1,uniform,2
LT_E_Demand,1,uniform,2
LT_E_ENS,1,uniform,2
LT_Wind_Onshore,1,uniform,2
LT_Wind_Offshore,1,uniform,2
LT_Solar,1,uniform,2
LT_Hydro,1,uniform,2
LT_Battery,1,uniform,2
LT_Pump_Hydro_Closed,1,uniform,2
LT_PEMEC,1,uniform,2
LT_PEMFC,1,uniform,2
LT_H2Tank,1,uniform,2
LV_E_Balance,1,uniform,2
LV_E_Demand,1,uniform,2
LV_E_ENS,1,uniform,2
LV_Wind_Onshore,1,uniform,2
LV_Wind_Offshore,1,uniform,2
LV_Solar,1,uniform,2
LV_Hydro,1,uniform,2
LV_Battery,1,uniform,2
LV_PEMEC,1,uniform,2
LV_PEMFC,1,uniform,2
LV_H2Tank,1,uniform,2
EE_E_Balance,1,uniform,2
EE_E_Demand,1,uniform,2
EE_E_ENS,1,uniform,2
EE_Wind_Onshore,1,uniform,2
EE_Wind_Offshore,1,uniform,2
EE_Solar,1,uniform,2
EE_Battery,1,uniform,2
EE_PEMEC,1,uniform,2
EE_PEMFC,1,uniform,2
EE_H2Tank,1,uniform,2
FI_E_Balance,1,uniform,2
FI_E_Demand,1,uniform,2
FI_E_ENS,1,uniform,2
FI_Wind_Onshore,1,uniform,2
FI_Wind_Offshore,1,uniform,2
FI_Solar,1,uniform,2
FI_Hydro_Reservoir,1,uniform,2
FI_Nuclear,1,uniform,2
FI_Battery,1,uniform,2
FI_H_Demand,1,uniform,2
FI_Blue_Hydrogen,1,uniform,2
FI_PEMEC,1,uniform,2
FI_PEMFC,1,uniform,2
FI_H2Tank,1,uniform,2
HR_E_Balance,1,uniform,2
HR_E_Demand,1,uniform,2
HR_E_ENS,1,uniform,2
HR_Wind_Onshore,1,uniform,2
HR_Solar,1,uniform,2
HR_Hydro,1,uniform,2
HR_Hydro_Reservoir,1,uniform,2
HR_Battery,1,uniform,2
HR_Pump_Hydro_Open,1,uniform,2
HR_PEMEC,1,uniform,2
HR_PEMFC,1,uniform,2
HR_H2Tank,1,uniform,2
GR_E_Balance,1,uniform,2
GR_E_Demand,1,uniform,2
GR_E_ENS,1,uniform,2
GR_Wind_Onshore,1,uniform,2
GR_Wind_Offshore,1,uniform,2
GR_Solar,1,uniform,2
GR_Hydro,1,uniform,2
GR_Hydro_Reservoir,1,uniform,2
GR_Battery,1,uniform,2
GR_Pump_Hydro_Closed,1,uniform,2
GR_Pump_Hydro_Open,1,uniform,2
GR_H_Demand,1,uniform,2
GR_Blue_Hydrogen,1,uniform,2
GR_PEMEC,1,uniform,2
GR_PEMFC,1,uniform,2
GR_H2Tank,1,uniform,2
BG_E_Balance,1,uniform,2
BG_E_Demand,1,uniform,2
BG_E_ENS,1,uniform,2
BG_Wind_Onshore,1,uniform,2
BG_Solar,1,uniform,2
BG_Hydro,1,uniform,2
BG_Hydro_Reservoir,1,uniform,2
BG_Nuclear,1,uniform,2
BG_Battery,1,uniform,2
BG_Pump_Hydro_Closed,1,uniform,2
BG_Pump_Hydro_Open,1,uniform,2
BG_PEMEC,1,uniform,2
BG_PEMFC,1,uniform,2
BG_H2Tank,1,uniform,2
RO_E_Balance,1,uniform,2
RO_E_Demand,1,uniform,2
RO_E_ENS,1,uniform,2
RO_Wind_Onshore,1,uniform,2
RO_Solar,1,uniform,2
RO_Hydro,1,uniform,2
RO_Hydro_Reservoir,1,uniform,2
RO_Nuclear,1,uniform,2
RO_Battery,1,uniform,2
RO_Pump_Hydro_Open,1,uniform,2
RO_H_Demand,1,uniform,2
RO_Blue_Hydrogen,1,uniform,2
RO_PEMEC,1,uniform,2
RO_PEMFC,1,uniform,2
RO_H2Tank,1,uniform,2
CY_E_Balance,1,uniform,2
CY_E_Demand,1,uniform,2
CY_E_ENS,1,uniform,2
CY_Wind_Onshore,1,uniform,2
CY_Solar,1,uniform,2
CY_Battery,1,uniform,2
CY_PEMEC,1,uniform,2
CY_PEMFC,1,uniform,2
CY_H2Tank,1,uniform,2
