,type,name
asset,profile_type,profile_name
NL_E_Demand,demand,NL_E_Demand
NL_Wind_Onshore,availability,NL_Wind_Onshore
NL_Wind_Offshore,availability,NL_Wind_Offshore
NL_Solar,availability,NL_Solar
BE_E_Demand,demand,BE_E_Demand
BE_Wind_Onshore,availability,BE_Wind_Onshore
BE_Wind_Offshore,availability,BE_Wind_Offshore
BE_Solar,availability,BE_Solar
BE_Hydro,availability,BE_Hydro
DE_E_Demand,demand,DE_E_Demand
DE_Wind_Onshore,availability,DE_Wind_Onshore
DE_Wind_Offshore,availability,DE_Wind_Offshore
DE_Solar,availability,DE_Solar
DE_Hydro,availability,DE_Hydro
DE_Hydro_Reservoir,inflows,DE_Hydro_Reservoir_Inflow
DE_Pump_Hydro_Open,inflows,DE_Pump_Hydro_Open_Inflow
FR_E_Demand,demand,FR_E_Demand
FR_Wind_Onshore,availability,FR_Wind_Onshore
FR_Wind_Offshore,availability,FR_Wind_Offshore
FR_Solar,availability,FR_Solar
FR_Hydro,availability,FR_Hydro
FR_Hydro_Reservoir,inflows,FR_Hydro_Reservoir_Inflow
FR_Pump_Hydro_Open,inflows,FR_Pump_Hydro_Open_Inflow
DK_E_Demand,demand,DK_E_Demand
DK_Wind_Onshore,availability,DK_Wind_Onshore
DK_Wind_Offshore,availability,DK_Wind_Offshore
DK_Solar,availability,DK_Solar
UK_E_Demand,demand,UK_E_Demand
UK_Wind_Onshore,availability,UK_Wind_Onshore
UK_Wind_Offshore,availability,UK_Wind_Offshore
UK_Solar,availability,UK_Solar
UK_Hydro,availability,UK_Hydro
IE_E_Demand,demand,IE_E_Demand
IE_Wind_Onshore,availability,IE_Wind_Onshore
IE_Wind_Offshore,availability,IE_Wind_Offshore
IE_Solar,availability,IE_Solar
IE_Hydro,availability,IE_Hydro
CH_E_Demand,demand,CH_E_Demand
CH_Wind_Onshore,availability,CH_Wind_Onshore
CH_Solar,availability,CH_Solar
CH_Hydro,availability,CH_Hydro
CH_Pump_Hydro_Open,inflows,CH_Pump_Hydro_Open_Inflow
AT_E_Demand,demand,AT_E_Demand
AT_Wind_Onshore,availability,AT_Wind_Onshore
AT_Solar,availability,AT_Solar
AT_Hydro,availability,AT_Hydro
AT_Hydro_Reservoir,inflows,AT_Hydro_Reservoir_Inflow
AT_Pump_Hydro_Open,inflows,AT_Pump_Hydro_Open_Inflow
LU_E_Demand,demand,LU_E_Demand
LU_Wind_Onshore,availability,LU_Wind_Onshore
LU_Solar,availability,LU_Solar
LU_Hydro,availability,LU_Hydro
CZ_E_Demand,demand,CZ_E_Demand
CZ_Wind_Onshore,availability,CZ_Wind_Onshore
CZ_Solar,availability,CZ_Solar
CZ_Hydro,availability,CZ_Hydro
CZ_Hydro_Reservoir,inflows,CZ_Hydro_Reservoir_Inflow
CZ_Pump_Hydro_Open,inflows,CZ_Pump_Hydro_Open_Inflow
PL_E_Demand,demand,PL_E_Demand
PL_Wind_Onshore,availability,PL_Wind_Onshore
PL_Wind_Offshore,availability,PL_Wind_Offshore
PL_Solar,availability,PL_Solar
PL_Hydro,availability,PL_Hydro
PL_Hydro_Reservoir,inflows,PL_Hydro_Reservoir_Inflow
PL_Pump_Hydro_Open,inflows,PL_Pump_Hydro_Open_Inflow
SE_E_Demand,demand,SE_E_Demand
SE_Wind_Onshore,availability,SE_Wind_Onshore
SE_Wind_Offshore,availability,SE_Wind_Offshore
SE_Solar,availability,SE_Solar
SE_Hydro_Reservoir,inflows,SE_Hydro_Reservoir_Inflow
NO_E_Demand,demand,NO_E_Demand
NO_Wind_Onshore,availability,NO_Wind_Onshore
NO_Wind_Offshore,availability,NO_Wind_Offshore
NO_Solar,availability,NO_Solar
NO_Pump_Hydro_Open,inflows,NO_Pump_Hydro_Open_Inflow
ES_E_Demand,demand,ES_E_Demand
ES_Wind_Onshore,availability,ES_Wind_Onshore
ES_Wind_Offshore,availability,ES_Wind_Offshore
ES_Solar,availability,ES_Solar
ES_Hydro,availability,ES_Hydro
ES_Hydro_Reservoir,inflows,ES_Hydro_Reservoir_Inflow
ES_Pump_Hydro_Open,inflows,ES_Pump_Hydro_Open_Inflow
PT_E_Demand,demand,PT_E_Demand
PT_Wind_Onshore,availability,PT_Wind_Onshore
PT_Wind_Offshore,availability,PT_Wind_Offshore
PT_Solar,availability,PT_Solar
PT_Hydro,availability,PT_Hydro
PT_Hydro_Reservoir,inflows,PT_Hydro_Reservoir_Inflow
PT_Pump_Hydro_Open,inflows,PT_Pump_Hydro_Open_Inflow
IT_E_Demand,demand,IT_E_Demand
IT_Wind_Onshore,availability,IT_Wind_Onshore
IT_Wind_Offshore,availability,IT_Wind_Offshore
IT_Solar,availability,IT_Solar
IT_Hydro,availability,IT_Hydro
IT_Hydro_Reservoir,inflows,IT_Hydro_Reservoir_Inflow
IT_Pump_Hydro_Open,inflows,IT_Pump_Hydro_Open_Inflow
MT_E_Demand,demand,MT_E_Demand
MT_Solar,availability,MT_Solar
SI_E_Demand,demand,SI_E_Demand
SI_Wind_Onshore,availability,SI_Wind_Onshore
SI_Solar,availability,SI_Solar
SI_Hydro,availability,SI_Hydro
HU_E_Demand,demand,HU_E_Demand
HU_Wind_Onshore,availability,HU_Wind_Onshore
HU_Solar,availability,HU_Solar
HU_Hydro,availability,HU_Hydro
SK_E_Demand,demand,SK_E_Demand
SK_Wind_Onshore,availability,SK_Wind_Onshore
SK_Solar,availability,SK_Solar
SK_Hydro,availability,SK_Hydro
SK_Hydro_Reservoir,inflows,SK_Hydro_Reservoir_Inflow
SK_Pump_Hydro_Open,inflows,SK_Pump_Hydro_Open_Inflow
LT_E_Demand,demand,LT_E_Demand
LT_Wind_Onshore,availability,LT_Wind_Onshore
LT_Wind_Offshore,availability,LT_Wind_Offshore
LT_Solar,availability,LT_Solar
LT_Hydro,availability,LT_Hydro
LV_E_Demand,demand,LV_E_Demand
LV_Wind_Onshore,availability,LV_Wind_Onshore
LV_Wind_Offshore,availability,LV_Wind_Offshore
LV_Solar,availability,LV_Solar
LV_Hydro,availability,LV_Hydro
EE_E_Demand,demand,EE_E_Demand
EE_Wind_Onshore,availability,EE_Wind_Onshore
EE_Wind_Offshore,availability,EE_Wind_Offshore
EE_Solar,availability,EE_Solar
FI_E_Demand,demand,FI_E_Demand
FI_Wind_Onshore,availability,FI_Wind_Onshore
FI_Wind_Offshore,availability,FI_Wind_Offshore
FI_Solar,availability,FI_Solar
FI_Hydro_Reservoir,inflows,FI_Hydro_Reservoir_Inflow
HR_E_Demand,demand,HR_E_Demand
HR_Wind_Onshore,availability,HR_Wind_Onshore
HR_Solar,availability,HR_Solar
HR_Hydro,availability,HR_Hydro
HR_Hydro_Reservoir,inflows,HR_Hydro_Reservoir_Inflow
HR_Pump_Hydro_Open,inflows,HR_Pump_Hydro_Open_Inflow
GR_E_Demand,demand,GR_E_Demand
GR_Wind_Onshore,availability,GR_Wind_Onshore
GR_Wind_Offshore,availability,GR_Wind_Offshore
GR_Solar,availability,GR_Solar
GR_Hydro,availability,GR_Hydro
GR_Hydro_Reservoir,inflows,GR_Hydro_Reservoir_Inflow
GR_Pump_Hydro_Open,inflows,GR_Pump_Hydro_Open_Inflow
BG_E_Demand,demand,BG_E_Demand
BG_Wind_Onshore,availability,BG_Wind_Onshore
BG_Solar,availability,BG_Solar
BG_Hydro,availability,BG_Hydro
BG_Hydro_Reservoir,inflows,BG_Hydro_Reservoir_Inflow
BG_Pump_Hydro_Open,inflows,BG_Pump_Hydro_Open_Inflow
RO_E_Demand,demand,RO_E_Demand
RO_Wind_Onshore,availability,RO_Wind_Onshore
RO_Solar,availability,RO_Solar
RO_Hydro,availability,RO_Hydro
RO_Hydro_Reservoir,inflows,RO_Hydro_Reservoir_Inflow
RO_Pump_Hydro_Open,inflows,RO_Pump_Hydro_Open_Inflow
CY_E_Demand,demand,CY_E_Demand
CY_Wind_Onshore,availability,CY_Wind_Onshore
CY_Solar,availability,CY_Solar
